일자,기관 합계,기타법인,개인,외국인 합계,전체
2025-09-26,7121,672,-64662,56869,0
2025-09-25,2852,-161,-45098,42407,0
2025-09-24,-17817,3055,72448,-57686,0
2025-09-23,57353,688,-51517,-6524,0
2025-09-22,4687,-864,-95001,91178,0
2025-09-19,-30356,-131,-35816,66303,0
2025-09-18,1103,5165,15942,-22210,0
2025-09-17,-11480,-5086,-31020,47586,0
2025-09-16,-16548,4234,-32844,45158,0
2025-09-15,15155,4888,-100366,80323,0
2025-09-12,30451,5041,-44724,9232,0
2025-09-11,183990,-1360,12684,-195314,0
2025-09-10,61179,3258,-27138,-37299,0
2025-09-09,-24017,-1842,5890,19969,0
2025-09-08,-16864,-3958,36299,-15477,0
2025-09-05,35850,11454,31442,-78746,0
2025-09-04,-23919,-1174,17739,7354,0
2025-09-03,-45550,1352,105082,-60884,0
2025-09-02,-53480,-384,8413,45451,0
2025-09-01,-85093,3027,-2330,84396,0
2025-08-29,-14458,1466,-7524,20516,0
2025-08-28,-53388,-2218,23552,32054,0
2025-08-27,1261,790,10928,-12979,0
2025-08-26,10696,1502,-14957,2759,0
2025-08-25,21976,-974,-10940,-10062,0
2025-08-22,21291,2544,19413,-43248,0
2025-08-21,-1822,2345,-9269,8746,0
2025-08-20,-84844,-1002,-46110,131956,0
2025-08-19,-53326,3005,9710,40611,0
2025-08-18,16809,2630,-105933,86494,0
2025-08-14,-51811,-891,34928,17774,0
2025-08-13,-35025,-1336,-11731,48092,0
2025-08-12,-41748,624,7104,34020,0
2025-08-11,-15907,168,-31854,47593,0
2025-08-08,-52480,-3351,-6310,62141,0
2025-08-07,-69870,-567,381019,-310582,0
2025-08-06,-15393,1002,50924,-36533,0
2025-08-05,6595,981,29570,-37146,0
2025-08-04,-4720,1313,-11632,15039,0
2025-08-01,-14008,308,14601,-901,0
2025-07-31,39100,3106,-23555,-18651,0
2025-07-30,-45630,-937,-6335,52902,0
2025-07-29,-3447,-2045,-16,5508,0
2025-07-28,-17838,-543,-288160,306541,0
2025-07-25,-648,-2664,56043,-52731,0
2025-07-24,52697,-1841,-85702,34846,0
2025-07-23,81292,342,-257187,175553,0
2025-07-22,-71898,5013,32188,34697,0
2025-07-21,56482,-298,-29407,-26777,0
2025-07-18,49814,-2345,-43285,-4184,0
2025-07-17,-13329,3309,1458,8562,0
2025-07-16,-26804,-490,39998,-12704,0
2025-07-15,46726,-4221,-80160,37655,0
2025-07-14,-12013,1194,22167,-11348,0
2025-07-11,32747,-5735,-9204,-17808,0
2025-07-10,20238,5241,-57217,31738,0
2025-07-09,46954,2480,-85230,35796,0
2025-07-08,20032,2975,-98760,75753,0
2025-07-07,18106,-634,-21123,3651,0
2025-07-04,15152,-494,2756,-17414,0
2025-07-03,67884,1978,61686,-131548,0
2025-07-02,-2045,-3057,-60129,65231,0
2025-07-01,11325,947,40831,-53103,0
2025-06-30,33113,-286,246,-33073,0
2025-06-27,33040,-4752,-74923,46635,0
2025-06-26,-58335,-4410,-16062,78807,0
2025-06-25,22704,-1307,-76680,55283,0
2025-06-24,83076,-2737,-12782,-67557,0
2025-06-23,73644,-5011,-100832,32199,0
2025-06-20,7892,1629,53123,-62644,0
2025-06-19,28191,-3901,-273311,249021,0
2025-06-18,54611,-11146,-61773,18308,0
2025-06-17,-67110,-7611,264671,-189950,0
2025-06-16,55271,12936,-158369,90162,0
2025-06-13,-25278,1453,15077,8748,0
2025-06-12,39109,-1490,27259,-64878,0
2025-06-11,27165,-2179,15013,-39999,0
2025-06-10,20783,10466,-67050,35801,0
2025-06-09,-42910,1071,-36792,78631,0
2025-06-05,-30675,1781,61149,-32255,0
2025-06-04,1917,4421,69853,-76191,0
2025-06-02,27958,12316,-81795,41521,0
2025-05-30,12022,251,-43335,31062,0
2025-05-29,33360,-832,-66456,33928,0
2025-05-28,-20074,424,117737,-98087,0
2025-05-27,29684,718,-63129,32727,0
2025-05-26,19941,8,-48062,28113,0
2025-05-23,-10988,5875,19645,-14532,0
2025-05-22,28473,-1427,-39595,12549,0
2025-05-21,887,-2763,35456,-33580,0
2025-05-20,71292,2354,17426,-91072,0
2025-05-19,95474,-14135,-25854,-55485,0
2025-05-16,32733,1877,8088,-42698,0
2025-05-15,7159,-906,28614,-34867,0
2025-05-14,121214,4744,-118454,-7504,0
2025-05-13,49577,5835,-11844,-43568,0
2025-05-12,92402,271,-21037,-71636,0
2025-05-09,-15364,-4607,3267,16704,0
2025-05-08,3356,-36,20418,-23738,0
2025-05-07,9397,-3013,83314,-89698,0
2025-05-02,127783,4619,6585,-138987,0
2025-04-30,94510,3812,91555,-189877,0
2025-04-29,64855,20962,-31498,-54319,0
2025-04-28,-26871,1059,2664,23148,0
2025-04-25,-67555,1282,43595,22678,0
2025-04-24,-33840,217,25218,8405,0
2025-04-23,-45528,1823,-24958,68663,0
2025-04-22,-103108,-4041,12209,94940,0
2025-04-21,-49993,43,-4176,54126,0
2025-04-18,3730,753,50212,-54695,0
2025-04-17,7018,2668,23198,-32884,0
2025-04-16,8594,-228,-11622,3256,0
2025-04-15,-160,2413,30435,-32688,0
2025-04-14,15673,886,57126,-73685,0
2025-04-11,60709,-1989,4703,-63423,0
2025-04-10,118839,-5127,-50203,-63509,0
2025-04-09,-5692,-344720,105275,245137,0
2025-04-08,-44775,-79483,2137,122121,0
2025-04-07,-5848,-95839,42256,59431,0
2025-04-04,-1412,1266,15505,-15359,0
2025-04-03,35111,-677,-31998,-2436,0
2025-04-02,-2900,-2986,-4089,9975,0
2025-04-01,-71067,-21474,57222,35319,0
2025-03-31,-56647,948,-21726,77425,0
2025-03-28,-30740,-521,-29022,60283,0
2025-03-27,-71581,7412,-42428,106597,0
2025-03-26,-86162,-6904,-15404,108470,0
2025-03-25,-11595,-388,31331,-19348,0
2025-03-24,-14975,-547,-12393,27915,0
2025-03-21,-24728,-2500,41204,-13976,0
2025-03-20,-900,-528,-24736,26164,0
2025-03-19,-70502,-2366,84974,-12106,0
2025-03-18,-14279,81,4981,9217,0
2025-03-17,8284,267,-21810,13259,0
2025-03-14,23601,1359,46341,-71301,0
2025-03-13,60767,-1094,-84435,24762,0
2025-03-12,10788,184,20160,-31132,0
2025-03-11,-10073,-3410,-58600,72083,0
2025-03-10,-55091,-921,19676,36336,0
2025-03-07,-26607,646,11569,14392,0
2025-03-06,-410,672,58104,-58366,0
2025-03-05,71414,-198,-129811,58595,0
2025-03-04,-23946,-1318,-34890,60154,0
2025-02-28,-58362,461,120703,-62802,0
2025-02-27,8190,2722,-45082,34170,0
2025-02-26,12994,368,30367,-43729,0
2025-02-25,10124,-103,-44566,34545,0
2025-02-24,-13973,-2511,224861,-208377,0
2025-02-21,-11771,487,-3767,15051,0
2025-02-20,-535,-2342,35570,-32693,0
2025-02-19,48327,-2896,52079,-97510,0
2025-02-18,7680,1107,-248570,239783,0
2025-02-17,7736,-2823,-35683,30770,0
2025-02-14,-145785,11332,132946,1507,0
2025-02-13,-50934,2552,17499,30883,0
2025-02-12,-10461,-1727,8075,4113,0
2025-02-11,5620,3688,-55030,45722,0
2025-02-10,-19007,-6840,-35867,61714,0
2025-02-07,-150447,395,161650,-11598,0
2025-02-06,-85342,2198,82883,261,0
2025-02-05,-31738,-27420,198967,-139809,0
2025-02-04,-105516,-85315,156734,34097,0
2025-02-03,-60316,-121240,243671,-62115,0
2025-01-31,985009,-2588894,647258,956627,0
2025-01-24,-98226,5653,-28508,121081,0
2025-01-23,-29339,-2392,64171,-32440,0
2025-01-22,-39190,-2429,52506,-10887,0
2025-01-21,6211,-20592,17581,-3200,0
2025-01-20,-37630,-3949,126459,-84880,0
2025-01-17,-52191,-380,167259,-114688,0
2025-01-16,-39509,-337,39730,116,0
2025-01-15,52810,-4873,-236073,188136,0
2025-01-14,32254,-61,-46930,14737,0
2025-01-13,30351,1214,-6960,-24605,0
2025-01-10,-293,7152,33424,-40283,0
2025-01-09,-17644,-5844,84474,-60986,0
2025-01-08,-26104,11515,49253,-34664,0
2025-01-07,-19544,4738,-18317,33123,0
2025-01-06,-14001,-614,-30004,44619,0
2025-01-03,-18941,529,37683,-19271,0
2025-01-02,8922,2952,40808,-52682,0
2024-12-30,12853,505,-46469,33111,0
2024-12-27,-28489,-1254,5172,24571,0
2024-12-26,-9885,171,6489,3225,0
2024-12-24,-28331,-2618,-28935,59884,0
2024-12-23,-16315,1125,35236,-20046,0
2024-12-20,-7517,-334,-26240,34091,0
2024-12-19,-61565,-420,63684,-1699,0
2024-12-18,-12224,-426,8788,3862,0
2024-12-17,73061,413,-18104,-55370,0
2024-12-16,91058,-1416,34715,-124357,0
2024-12-13,187092,3239,-171922,-18409,0
2024-12-12,27517,20,24124,-51661,0
2024-12-11,82566,-2526,-133857,53817,0
2024-12-10,29575,1546,-16555,-14566,0
2024-12-09,15647,-1840,-63948,50141,0
2024-12-06,-8084,1330,45544,-38790,0
2024-12-05,123978,1837,58121,-183936,0
2024-12-04,152591,-1281,13885,-165195,0
2024-12-03,88860,-5239,-249318,165697,0
2024-12-02,26103,-6983,75924,-95044,0
2024-11-29,129017,13207,-46474,-95750,0
2024-11-28,174474,-4913,-131057,-38504,0
2024-11-27,44221,2617,-59552,12714,0
2024-11-26,-47325,2101,117781,-72557,0
2024-11-25,26116,642,-24325,-2433,0
2024-11-22,6778,-997,-53398,47617,0
2024-11-21,-84592,-2298,31151,55739,0
2024-11-20,20288,-1003,-126511,107226,0
2024-11-19,-70406,-2449,505,72350,0
2024-11-18,-24257,-2862,-6752,33871,0
2024-11-15,-27276,-5837,122285,-89172,0
2024-11-14,81530,-620,-107149,26239,0
2024-11-13,-89540,4747,-57411,142204,0
2024-11-12,-59576,-5963,135221,-69682,0
2024-11-11,37822,12689,25150,-75661,0
2024-11-08,-24753,-1579,-37471,63803,0
2024-11-07,94871,351,-60362,-34860,0
2024-11-06,-63486,-12833,-206011,282330,0
2024-11-05,18203,-1999,41902,-58106,0
2024-11-04,70317,-5300,23786,-88803,0
2024-11-01,15537,-3152,-37726,25341,0
2024-10-31,-58643,-1042,81807,-22122,0
2024-10-30,-78108,-8538,-53398,140044,0
2024-10-29,-558702,-43662,299274,303090,0
2024-10-28,-26262,-721,86501,-59518,0
2024-10-25,37933,3630,5095,-46658,0
2024-10-24,12205,339,21946,-34490,0
2024-10-23,27976,-65,-30641,2730,0
2024-10-22,-17407,80,19484,-2157,0
2024-10-21,21493,274,-10283,-11484,0
2024-10-18,-11017,333,14149,-3465,0
2024-10-17,5854,-4390,-86960,85496,0
2024-10-16,-80187,12364,23017,44806,0
2024-10-15,-13630,-2144,-28775,44549,0
2024-10-14,-5817,10,-23471,29278,0
2024-10-11,-48777,-2612,143,51246,0
2024-10-10,-4681,-380,20288,-15227,0
2024-10-08,-17975,3624,50352,-36001,0
2024-10-07,-19079,-1773,15838,5014,0
2024-10-04,-3674,1323,-54175,56526,0
2024-10-02,-17553,1172,-9977,26358,0
2024-09-30,34972,-1524,-11908,-21540,0
2024-09-27,9751,-1194,16203,-24760,0
2024-09-26,40685,2130,-63189,20374,0
